symbol,is_status,is_trades,is_net,is_pf,is_dd,is_win,oos_status,oos_trades,oos_net,oos_pf,oos_dd,oos_win,is_run,oos_run
PETR4,completed,72,6519.5100,2.0500,2515.4100,76.3900,completed,28,-1447.0200,0.7100,3080.9200,64.2900,20260817_131116_56f8dd,20260817_131134_05371c
VALE3,completed,58,3717.1000,1.4400,2180.5900,72.4100,completed,19,-2438.4500,0.5100,3602.2200,63.1600,20260817_131149_ce73b5,20260817_131205_d9459a
ITUB4,completed,59,3297.6000,1.4500,2592.5800,74.5800,completed,27,2091.1500,1.7400,1751.8400,70.3700,20260817_131216_850c14,20260817_131229_16c73a
BBDC4,completed,54,-1198.0600,0.8400,3588.3200,59.2600,completed,22,2977.8500,2.4700,1258.7600,72.7300,20260817_131243_641194,20260817_131301_2565fa
BBAS3,completed,74,6370.4300,1.8500,1902.5500,77.0300,completed,25,5436.6100,5.0200,1159.9200,80.0000,20260817_131312_15be07,20260817_131326_2d0aec
B3SA3,completed,62,3205.9900,1.4500,3347.0100,69.3500,completed,19,-92.2000,0.9700,2147.8700,73.6800,20260817_131339_500238,20260817_131351_54f54e
WEGE3,completed,63,3655.1200,1.4900,2068.9100,74.6000,completed,16,-459.2800,0.8200,1624.1500,68.7500,20260817_131402_9974e5,20260817_131417_049cf0
ABEV3,completed,78,5282.2200,1.6300,2485.4800,78.2100,completed,19,1859.2600,3.5200,948.1200,68.4200,20260817_131430_650964,20260817_131445_967a51
PRIO3,completed,74,5269.0600,1.6600,1699.4100,72.9700,completed,18,-1844.4400,0.4700,3032.4500,61.1100,20260817_131458_91c594,20260817_131517_7e0490
SUZB3,completed,61,-318.0200,0.9700,3142.1700,62.3000,completed,28,1865.9800,1.7200,1431.7500,82.1400,20260817_131532_d26dd0,20260817_131547_77e6dd
RENT3,completed,76,7852.5700,1.8700,2385.4700,77.6300,completed,16,1533.5200,1.6300,1598.0300,75.0000,20260817_131604_39ef73,20260817_131622_edd295
EQTL3,completed,75,7649.8200,2.3900,2887.0100,74.6700,completed,21,2913.0100,3.7900,854.7800,76.1900,20260817_131642_c7f3bd,20260817_131700_c3e914
VIVT3,completed,71,12681.1500,3.8000,1915.0000,88.7300,completed,29,2406.3800,1.9100,1370.0000,79.3100,20260817_131714_341b3e,20260817_131734_c08251
GGBR4,completed,64,2684.6000,1.3400,1903.2100,75.0000,completed,24,-1010.7700,0.7700,3187.3700,70.8300,20260817_131749_83f2e5,20260817_131809_9cb5a8
CSAN3,completed,63,1757.7000,1.2200,4985.9100,68.2500,completed,12,-382.4200,0.8100,1547.8800,58.3300,20260817_131828_edc81a,20260817_131841_eff3cc
